@relation D__weibo_category9_hasNISegment

@attribute text string
@attribute @@class@@ {体育,军事,历史,时事,汽车,电影,科技,综艺娱乐,美食}

@data

' 上海 劳 力士 大师 比赛 大师 上海 男单 决比赛 观众席 熟悉 身影 跳水 奥运 冠军 吴敏霞 家人 女排 奥运 冠军 惠若琪 上海 港 球员 孔卡 家人 港 球员 埃尔克森 到场 观比赛',体育
' 两 分钟 明白 核反应堆 工作 原理 核反应堆 驱逐舰 提供 动力 简单 先 烧 开水 驱动 轮机 二战 时期 驱逐舰 蒸汽 轮机 原理 本来 重油 烧 换 成 核反应堆 烧 军武 正片 超级 军事 周 超级 驱逐舰 军武 次 位 面 秒 拍 视频',军事
' 市长 金印 卖 800万 揭开 张 献 忠 沉银 身 家 谜 石龙 石虎 金银 万万五 识 破 买 成都 府 张献忠 船 沉银 津津乐道 首 彭山 流传 数百 年 童谣 无数 追 市长 金印 卖 800万 揭开 张 献 忠 沉银 身 家 谜',历史
' 西安 新闻 机关 食堂 元 吃 菜 汤 浪费 现象 频频 长安区 政府 机关 食堂 楼 就餐 书记 自助 餐盘 盛 放 食物 两 元 选择 菜 加 米饭 汤 喝 华商报 记者 发现 就餐 公务 人员 吃 完 饭 餐盘 剩 米饭 菜 碗 面条 吃 一半',时事
' Bomb 青铜路上 收到 礼物 第三 哥 神',汽车
' 电影 罗曼蒂克 消亡 史 讲 民国 时期 上海滩 黑帮 背景 群 人物 故事 主演 阵容 感受 葛优 章子怡 浅野忠数据 杜淳 钟欣 潼 袁泉 闫 妮 韩庚 霍思燕 钟汉良 预告 里 佟 掌柜 上海 6666L 胶片 少女 秒 拍 视频',电影
' 扎克伯格 本月 发布 AI 管家 钢武器侠 配音 钢武器侠 扮演者 罗伯特 唐尼 日前 扎克伯格 人工智能 管家 配音 扎克伯格 底 本月 公布 款 人工智能 管家 扎克伯格 称 人工智能 管家 辨识 声 控制 灯光 大做法 温度 做 早饭 识别 人脸 审理断 开做法 聊天',科技
' 五月天 倔强 伤心 听 慢 歌 想 干杯 天天向上 LIVE 湖南卫视 芒果捞 秒 拍 视频',综艺娱乐
' 口袋 饼干 受 款 零食 口 特 浓郁 奶 香',美食
' 收藏 科 进攻 杀 招 式 教学 视频 大盘 点 视频 收藏 科 进攻 杀 招 式 教学 视频',体育
' 红旗 9PK 俄罗斯 S400 中国 防空 更胜一筹 公开 数据 s400 作战 半径 公里 红旗 公里 红旗 吸收 俄国 防空 弹道 装备 研制 我国 摸 石 河 首 款 完善 红旗 9PK 俄罗斯 S400 中国 防空 更胜一筹',军事
' 中国 古老 习俗 知 中国 传统 习俗 形式 多样 内容 多样 中华民族 悠久 历史 文化 组成部分 民族 国家 历史 文化 长期 积淀 凝聚 过程 流传 风俗 礼仪 里 清晰 历代 组织 生活 精彩 画面',历史
' 中国 国土资源 报 今日 点 国土资源 数据息化 工作 致力 全 目标 四川 警示 约 谈 土地 矿产 违法 县 市区 广西 整合 土地 整治 资金 助力 贫困县 脱帽 浙江 杭州 划定 永久 农田 实行 保护 安徽 严禁 养老 设施 用地 变相 开发 商业 地产 详情',时事
' SamSay 年 前 日 坐 台 动 电脑 宝马 125i 里 汽车 百 公里 加速 原 厂 M135i 看齐 隔壁 道 驶 张 熟悉 脸 飙 飙 激战 红绿灯 口 125i 赢 起步 一瞬间 灯 口 追 拉开 奥迪S6 印象 浅 谈 奥迪S6 变态 选 汽车 观',汽车
' 年 不容错过 部 韩国 喜剧 电影 韩国 喜剧 爆 笑 温情 总 间 戳 中 泪 点',电影
